50,58
73,18
64,44
98,49
63,50
89,43
24,5
30,56
72,70
72,77
1,22
96,78
90,38
55,72
51,80
30,55
0,84
68,65
31,69
93,36
67,37
79,52
3,31
46,73
37,74
42,63
56,46
48,16
28,39
14,100
47,21
51,31
61,25
0,98
63,37
21,48
53,92
62,58
64,96
62,37
12,81
98,68
95,95
53,47
84,69
88,22
63,32
16,26
61,39
83,25
87,50
55,83
0,39
76,98
2,37
57,40
56,82
72,33
78,92
71,15
34,27
22,72
45,97
58,77
26,98
29,88
19,22
9,74
79,75
67,53
39,61
70,40
15,40
35,17
28,60
54,42
82,80
21,77
32,98
24,4
28,87
50,35
38,47
31,21
95,6
37,76
86,80
27,58
23,83
65,93
1,19
5,58
93,89
3,22
97,79
33,93
84,24
20,71
66,82
64,29
